code,question,year,paper,topic1,subtopic1,topic2,subtopic2,topic3,subtopic3,graph?,word_prob?
0,"Given the Bernoulli’s equation: $ p+\rho gh+\rho v^{2}=$ constant where all the symbols carry their usual meaning.
(i) What quantity does each expression on the left hand side of the equation represent? 
(ii) Mention any three conditions which make the equation to be valid. ",2018,2,Fluid Dynamics,Bernoulli's Principle,.,.,.,.,0,0
1,Water is supplied to a house at ground level through a pipe of inner diameter $ 1.5$ cm at an absolute pressure of $ 6.5 \times 10^{5}$ Pa and velocity of $ 5$ m$/$s. The pipe line leading to the second floor bath room $ 8$ m above has an inner diameter of $ 0.75$ cm. Find the flow velocity and pressure at the pipe outlet in the second floor bathroom. ,2018,2,Fluid Dynamics,Bernoulli's Principle,.,.,.,.,0,0
2,"Define the following terms when applied to fluid flow:
(i) Non-viscous fluid 
(ii) Steady flow 
(iii) Line of flow 
(iv) Turbulent flow",2018,2,Fluid Dynamics,Streamline Flow and Continuity,.,.,.,.,0,1
3,"A horizontal pipeline increases uniformly from $ 0.080$ m diameter to $ 0.160$ m diameter in the direction of flow of water. When $ 96$ litres of water is flowing per second, a pressure gauge at the $ 0.080$ m diameter section reads $ 3.5 \times 10^{5}$ Pa. What should be the reading of the gauge at the $ 0.160$ m diameter section neglecting any loss? ",2018,2,Fluid Dynamics,Bernoulli's Principle,.,.,.,.,0,0
4,"What do you understand by the terms:
(i) Progressive wave 
(ii) Refraction of waves 
(iii) Diffraction of waves 
(iv) Standing wave. ",2018,2,Vibrations and Waves,Wave Motion,.,.,.,.,0,1
5,"Two progressive waves traveling in the opposite direction in the medium are represented by $ Y_{1}=5 \sin(\omega t+\pi/3)$ and  $ Y_{2}=5 \sin(\omega t- \pi/3)$ . If the two progressive waves form a standing wave, determine the resultant amplitude and the phase angle formed. ",2018,2,Vibrations and Waves,Wave Motion,.,.,.,.,0,0
6,"The shortest length of the resonance tube closed at one end which resounds to fork of frequency $ 256$ Hz is $ 31.6$ cm, The corresponding length for a fork of frequency $ 384$ Hz is $ 20.5$ cm. Determine the end correction for the tube and the velocity of sound in air. ",2018,2,Vibrations and Waves,Sound,.,.,.,.,0,0
7,What do you understand by the term interference of waves?,2018,2,Vibrations and Waves,Physical Optics (interferance/diffraction/polarization),.,.,.,.,0,1
8,A viewing screen is separated from a double-slit source by $ 1.2$ m. The distance between the two slits is $ 0.030$ mm. The second order bright fringe $ (m=2)$ is $ 4.5$ cm from the centre line. Determine the wavelength of the light and the distance between adjacent bright fringes. ,2018,2,Vibrations and Waves,Physical Optics (interferance/diffraction/polarization),.,.,.,.,0,0
9,Define the term coherent sources of light. ,2018,2,Vibrations and Waves,Physical Optics (interferance/diffraction/polarization),.,.,.,.,0,1
00A,Interference patterns are formed when using Young’s double slit experiment. Mention other three methods that can be used to form interference patterns. ,2018,2,Vibrations and Waves,Physical Optics (interferance/diffraction/polarization),.,.,.,.,0,1
00B,"Giving reasons, explain whether either transverse or longitudinal waves could exist, if the vibratory motion causing them were not simple harmonic motion. ",2018,2,Mechanics,Simple Harmonic Motion,.,.,.,.,0,1
00C,"A beam of monochromatic light of wavelength $ 680$ nm in air passes into glass.  Calculate: 
(i) The speed of light in glass
(ii) The frequency of light
(iii) The wavelength of light in glass",2018,2,Vibrations and Waves,Physical Optics (interferance/diffraction/polarization),.,.,.,.,0,0
00D,"Light of wavelength $ 644$ nm is incident on a grating with a spacing of $ 2.00 \times 10^{-6}$ m. 
(i) What is the angle to the normal of a second order maximum? 
(ii) What is the largest number of orders that can be visible? 
(iii) Find the angular separation between the third and fourth order image.",2018,2,Vibrations and Waves,Physical Optics (interferance/diffraction/polarization),.,.,.,.,0,0
00E,Mention any two factors which affect the surface tension of the liquid and in each case explain two typical examples. ,2018,2,Properties of Matter,Surface Tension,.,.,.,.,0,1
00F,Why molecules on the surface of a liquid have more potential energy than those within the liquid? Briefly explain. ,2018,2,Properties of Matter,Surface Tension,.,.,.,.,0,1
00G,Derive an expression for excess pressure inside a soap bubble of radius $ R$ and surface tension $ \gamma $ when the pressures inside and outside the bubble are $ P_{2}$ and $ P_{1}$ respectively. ,2018,2,Properties of Matter,Surface Tension,.,.,.,.,0,0
00H,A soap bubble has a diameter of $ 5$ mm. Calculate the pressure inside it if the atmospheric pressure is $ 10^{5}$ Pa and the surface tension of a soap solution is $ 2.8 \times 10^{-2}$ N$/$m.,2018,2,Properties of Matter,Surface Tension,.,.,.,.,0,0
00I,Water rises up in a glass capillary tube up to a height of $ 9.0$ cm while mercury falls down by $ 3.4$ cm in the same capillary. Assume angles of contact for water-glass and . mercury-glass as $ 0^{\circ}$ and $ 135^{\circ}$ respectively. Determine the ratio of surface tensions of mercury and water. ,2018,2,Properties of Matter,Surface Tension,.,.,.,.,0,0
00J,"Briefly explain the following observations as applied to strengths of materials:
(i) Bridges are declared unsafe after long use. 
(ii) Iron is more elastic than rubber. ",2018,2,Properties of Matter,Elasticity,.,.,.,.,0,1
